match_no	round	season	home_team_org	home_team	goals_home_team	attendance	away_team	goals_away_team	position
3723	3	2010/2011	BIF	Brondby IF	1	14.670	FCM	0	3rd
3735	5	2010/2011	BIF	Brondby IF	1	12.258	EFB	1	3rd
3741	6	2010/2011	BIF	Brondby IF	2	13.212	OB	2	3rd
3753	8	2010/2011	BIF	Brondby IF	3	11.155	SDR	1	3rd
3765	10	2010/2011	BIF	Brondby IF	0	11.158	SIF	2	3rd
3770	11	2010/2011	BIF	Brondby IF	0	11.213	ACH	1	3rd
3783	13	2010/2011	BIF	Brondby IF	2	10.636	RFC	1	3rd
3795	15	2010/2011	BIF	Brondby IF	2	13.574	FCM	2	3rd
3905	1	2011/2012	BIF	Brondby IF	2	11.868	AaB	2	9th
3918	3	2011/2012	BIF	Brondby IF	1	11.490	ACH	4	9th
3929	5	2011/2012	BIF	Brondby IF	2	10.382	SDR	2	9th
3951	8	2011/2012	BIF	Brondby IF	5	15.251	HBK	0	9th
3962	10	2011/2012	BIF	Brondby IF	1	15.695	FCK	2	9th
3966	11	2011/2012	BIF	Brondby IF	1	13.427	LBK	0	9th
3987	14	2011/2012	BIF	Brondby IF	1	11.584	AaB	1	9th
4000	16	2011/2012	BIF	Brondby IF	2	10.803	FCK	1	9th
4107	1	2012/2013	BIF	Brondby IF	0	9.102	OB	1	9th
4118	3	2012/2013	BIF	Brondby IF	2	9.586	SIF	1	9th
4129	5	2012/2013	BIF	Brondby IF	0	7.667	SDR	1	9th
4140	7	2012/2013	BIF	Brondby IF	1	8.888	EFB	1	9th
4152	9	2012/2013	BIF	Brondby IF	2	9.164	ACH	2	9th
4171	12	2012/2013	BIF	Brondby IF	1	7.070	AaB	3	9th
4188	15	2012/2013	BIF	Brondby IF	0	10.590	OB	3	9th
4202	17	2012/2013	BIF	Brondby IF	2	10.596	EFB	2	9th
4303	1	2013/2014	BIF	Brondby IF	1	18.770	FCV	1	4th
4317	3	2013/2014	BIF	Brondby IF	0	14.771	EFB	2	4th
4334	6	2013/2014	BIF	Brondby IF	0	16.086	RFC	0	4th
4344	8	2013/2014	BIF	Brondby IF	2	12.487	OB	1	4th
4356	10	2013/2014	BIF	Brondby IF	3	21.798	FCK	2	4th
4367	12	2013/2014	BIF	Brondby IF	0	16.607	VFF	0	4th
4386	15	2013/2014	BIF	Brondby IF	3	12.790	AGF	0	4th
4399	17	2013/2014	BIF	Brondby IF	1	21.624	FCK	3	4th
4508	2	2014/2015	BIF	Brondby IF	2	15.986	SIF	0	3rd
4519	4	2014/2015	BIF	Brondby IF	1	11.116	OB	1	3rd
4527	5	2014/2015	BIF	Brondby IF	2	9.962	SDR	0	3rd
4540	7	2014/2015	BIF	Brondby IF	0	25.551	RFC	2	3rd
4558	10	2014/2015	BIF	Brondby IF	2	15.412	AaB	1	3rd
4560	11	2014/2015	BIF	Brondby IF	5	12.190	FCV	0	3rd
4572	13	2014/2015	BIF	Brondby IF	1	12.497	RFC	0	3rd
4585	15	2014/2015	BIF	Brondby IF	1	12.647	SDR	0	3rd
4706	2	2015/2016	BIF	Brondby IF	1	11.494	OB	2	4th
4709	3	2015/2016	BIF	Brondby IF	0	9.498	HOB	2	4th
4728	6	2015/2016	BIF	Brondby IF	1	11.376	SDR	0	4th
4741	8	2015/2016	BIF	Brondby IF	0	11.535	FCM	0	4th
4755	10	2015/2016	BIF	Brondby IF	1	22.281	FCK	0	4th
4758	11	2015/2016	BIF	Brondby IF	1	11.347	EFB	1	4th
4771	13	2015/2016	BIF	Brondby IF	2	11.650	FCM	1	4th
4785	15	2015/2016	BIF	Brondby IF	0	25.102	FCK	0	4th
4900	1	2016/2017	BIF	Brondby IF	4	10.397	EFB	0	
4911	3	2016/2017	BIF	Brondby IF	2	12.136	ACH	2	
4929	5	2016/2017	BIF	Brondby IF	4	9.442	SDR	0	
4939	7	2016/2017	BIF	Brondby IF	1	23.518	FCK	1	
4957	9	2016/2017	BIF	Brondby IF	1	15.778	VFF	2	
4969	11	2016/2017	BIF	Brondby IF	3	13.147	OB	0	
4974	12	2016/2017	BIF	Brondby IF	2	10.695	RFC	2	
4992	14	2016/2017	BIF	Brondby IF	1	10.175	AGF	0	
4906	2	2016/2017	ACH	Extra teams 16/17	1	2.653	SDR	1	
4907	2	2016/2017	EFB	Extra teams 16/17	0	5.439	FCK	4	
4921	4	2016/2017	EFB	Extra teams 16/17	2	4.605	AGF	2	
4926	5	2016/2017	ACH	Extra teams 16/17	3	2.025	SIF	3	
4930	6	2016/2017	EFB	Extra teams 16/17	3	4.042	OB	2	
4935	6	2016/2017	ACH	Extra teams 16/17	2	1.663	LBK	1	
4953	9	2016/2017	ACH	Extra teams 16/17	0	6.095	FCK	2	
4954	9	2016/2017	EFB	Extra teams 16/17	1	4.450	RFC	1	
4959	10	2016/2017	EFB	Extra teams 16/17	0	4.032	SIF	0	
4961	10	2016/2017	ACH	Extra teams 16/17	0	1.528	FCN	0	
4977	12	2016/2017	ACH	Extra teams 16/17	1	1.947	EFB	0	
4979	13	2016/2017	EFB	Extra teams 16/17	2	4.731	LBK	2	
4988	14	2016/2017	ACH	Extra teams 16/17	1	2.233	RFC	0	
4990	14	2016/2017	EFB	Extra teams 16/17	1	4.473	FCM	3	
5002	16	2016/2017	EFB	Extra teams 16/17	3	3.012	AaB	0	
5006	16	2016/2017	ACH	Extra teams 16/17	1	1.962	FCM	5	
5011	16	2010/2011	XXX	Extra teams 16/17	1	0	XXX	5	
5012	16	2011/2012	XXX	Extra teams 16/17	1	0	XXX	5	
5013	16	2012/2013	XXX	Extra teams 16/17	1	0	XXX	5	
5014	16	2013/2014	XXX	Extra teams 16/17	1	0	XXX	5	
5015	16	2014/2015	XXX	Extra teams 16/17	0	0	XXX	0	
5016	16	2015/2016	XXX	Extra teams 16/17	0	0	XXX	0	
3719	3	2010/2011	FCK	FC Copenhagen	1	11.944	AaB	1	Champion
3731	5	2010/2011	FCK	FC Copenhagen	2	11.547	FCN	0	Champion
3737	6	2010/2011	FCK	FC Copenhagen	3	12.007	LBK	0	Champion
3749	8	2010/2011	FCK	FC Copenhagen	2	13.018	SIF	2	Champion
3759	9	2010/2011	FCK	FC Copenhagen	2	28.215	BIF	0	Champion
3771	11	2010/2011	FCK	FC Copenhagen	1	16.312	RFC	0	Champion
3777	12	2010/2011	FCK	FC Copenhagen	5	17.635	OB	0	Champion
3785	14	2010/2011	FCK	FC Copenhagen	3	14.263	LBK	2	Champion
3911	2	2011/2012	FCK	FC Copenhagen	2	14.774	OB	2	2nd
3921	3	2011/2012	FCK	FC Copenhagen	2	11.076	FCN	0	2nd
3933	5	2011/2012	FCK	FC Copenhagen	2	12.218	FCM	0	2nd
3946	7	2011/2012	FCK	FC Copenhagen	2	11.629	SIF	1	2nd
3957	9	2011/2012	FCK	FC Copenhagen	2	15.245	AaB	0	2nd
3970	11	2011/2012	FCK	FC Copenhagen	1	25.651	AGF	1	2nd
